"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Study","feature","breaks","stars"
86.0667409837866,-2.95369508648115,0.514503023209769,-5.74087022473508,9.41912550054207e-09,0.00509431665363824,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Gevers et al.","Biopsy","[-3,-2)","***"
279.456497379952,-2.40469750929057,0.945560323906458,-2.54314552809902,0.0109859462564349,0.0974087234737224,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Mottawea et al.","Lavage","[-3,-2)","*"
18.9266345272609,-22.8765661461719,1.83721441943439,-12.4517671449665,1.36782650457506e-35,3.14415160573844e-13,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_AC2044_group","Jacobs et al.","Stool","[-30,-4)","***"
27.9573449955996,-2.25235807958541,0.885245853962692,-2.54433056026528,0.010948741651341,0.0406015836237228,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_FCS020_group","Forbes et al.","Stool","[-3,-2)","*"
4.11732877663984,-2.99316843760035,0.662123635415288,-4.52055821224841,6.16767818017469e-06,0.0505089127685354,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_FCS020_group","Gevers et al.","Biopsy","[-3,-2)","***"
6.07405419863068,-2.83178311900799,1.38424353818348,-2.04572608857839,0.040783327475633,0.0981004363603065,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ND3007_group","Forbes et al.","Stool","[-3,-2)","*"
7.73002228002014,-2.97841319611389,0.734751967942507,-4.05363078435054,5.0428785947119e-05,0.0787586558881336,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ND3007_group","Gevers et al.","Biopsy","[-3,-2)","***"
35.027937934654,-2.60807951566892,1.04663540364386,-2.49187014560075,0.0127072485598886,0.0452378048732035,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Forbes et al.","Stool","[-3,-2)","*"
322.032892887403,-1.42810868461271,0.333560064597141,-4.28141386271019,1.85709607615847e-05,0.0631105079923563,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Gevers et al.","Biopsy","[-2,-1)","***"
8.92880192685176,-21.8972526628392,3.00297386136194,-7.29185589810898,3.05714059745892e-13,7.48025407144178e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4B4_group","Jacobs et al.","Stool","[-30,-4)","***"
7.56697635070238,3.2855520191363,1.82711064379353,1.79822280073564,0.0721417077296937,0.12948229253833,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-004","Morgan et al. 2012","Stool","[3,4)",""
13.1332782741901,-22.3590840805835,1.76480479370105,-12.6694375266815,8.73383952431536e-37,3.14415160573844e-13,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-008","Jacobs et al.","Stool","[-30,-4)","***"
14.731476369384,2.28631215275447,0.946267669917093,2.41613681354535,0.0156861661708741,0.0988609881649321,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-010","Braun et al.","Stool","[2,3)","*"
906.970572139617,4.08777748577214,1.07449443517711,3.8043728770902,0.000142163896797542,0.00468747201916087,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Gevers et al. stool","Stool","[4,30)","***"
